severity,issue,language,file,line,pair_id,details,english_question,translated_question
hard,identical_to_english,bengali,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_bengali.jsonl,11,9432abec,Translated question is byte-identical to English source,"List the district name, the state name, and the country name for all entries, ordered alphabetically by the name of the district.","List the district name, the state name, and the country name for all entries, ordered alphabetically by the name of the district."
hard,identical_to_english,bengali,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_bengali.jsonl,66,cc274a6c,Translated question is byte-identical to English source,"For the most recent census year available, list each sub-district name and the total sum of manufacturing and construction establishments, including only those sub-districts where this combined sum is greater than zero, and order the results by the total sum in descending order.","For the most recent census year available, list each sub-district name and the total sum of manufacturing and construction establishments, including only those sub-districts where this combined sum is greater than zero, and order the results by the total sum in descending order."
hard,identical_to_english,bengali,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_bengali.jsonl,67,7ead6ddc,Translated question is byte-identical to English source,"For the most recent time period available, list the names of the ULB, RLB, or villages where the total estimated manufacturing value is greater than 50.","For the most recent time period available, list the names of the ULB, RLB, or villages where the total estimated manufacturing value is greater than 50."
hard,prompt_leakage,bengali,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_bengali.jsonl,81,2f881d8e,matched=অনুবাদ করুন,"List the sub-district names and the names of the ULB, RLB, or villages, grouped by these two columns and ordered alphabetically by sub-district, for locations where the estimated accommodation and food expenditure is greater than zero.","এই কোয়েরিটি অনুবাদ করুন:
যেসব স্থানে আনুমানিক আবাসন ও খাদ্য ব্যয় শূন্যের চেয়ে বেশি, সেখানকার উপজেলার নাম এবং ইউএলবি, আরএলবি বা গ্রামের নাম এই দুটি কলাম অনুসারে গ্রুপ করে এবং উপজেলার নাম অনুসারে বর্ণানুক্রমে সাজিয়ে তালিকাভুক্ত করুন।"
hard,identical_to_english,bengali,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_bengali.jsonl,95,a7c2466f,Translated question is byte-identical to English source,"List the names of the ULB, RLB, or villages where the estimated transport and storage value is greater than 50 or the estimated accommodation and food services value is greater than 50, ordered alphabetically by the village name.","List the names of the ULB, RLB, or villages where the estimated transport and storage value is greater than 50 or the estimated accommodation and food services value is greater than 50, ordered alphabetically by the village name."
hard,identical_to_english,bengali,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_bengali.jsonl,98,c6cd83bf,Translated question is byte-identical to English source,"List the sub-district name and the census year, along with the total sum of estimated education and estimated human health and social values, grouped by sub-district and census year, and ordered chronologically by census year.","List the sub-district name and the census year, along with the total sum of estimated education and estimated human health and social values, grouped by sub-district and census year, and ordered chronologically by census year."
hard,identical_to_english,bengali,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_bengali.jsonl,99,f89a1184,Translated question is byte-identical to English source,"List the sub-district name and the census year, along with the total sum of estimated education and estimated human health and social values, for each sub-district and census year where that sum is at least 0.000, ordered by the census year and the total sum in descending order.","List the sub-district name and the census year, along with the total sum of estimated education and estimated human health and social values, for each sub-district and census year where that sum is at least 0.000, ordered by the census year and the total sum in descending order."
hard,identical_to_english,bengali,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_bengali.jsonl,114,d5b2cc85,Translated question is byte-identical to English source,List the sub-district names and the ULB/RLB village names where the total number of establishments owned by females is greater than the total number of establishments owned by males.,List the sub-district names and the ULB/RLB village names where the total number of establishments owned by females is greater than the total number of establishments owned by males.
hard,identical_to_english,bengali,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_bengali.jsonl,115,3222d0c9,Translated question is byte-identical to English source,"For the most recent census year available, list each sub-district name along with the total sum of establishments owned by females, grouped by sub-district and ordered from the highest to lowest total.","For the most recent census year available, list each sub-district name along with the total sum of establishments owned by females, grouped by sub-district and ordered from the highest to lowest total."
hard,identical_to_english,bengali,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_bengali.jsonl,126,6e81097b,Translated question is byte-identical to English source,List the sub-district names from the year 2013 where the total estimated ownership by females is greater than zero and the total estimated ownership by other genders is exactly zero.,List the sub-district names from the year 2013 where the total estimated ownership by females is greater than zero and the total estimated ownership by other genders is exactly zero.
hard,identical_to_english,bengali,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_bengali.jsonl,141,e591a0fb,Translated question is byte-identical to English source,"List the sub-district names from the 2013 census year where there is at least one establishment owned by Sikhs, but the total sum of establishments owned by Jains in that sub-district is exactly zero.","List the sub-district names from the 2013 census year where there is at least one establishment owned by Sikhs, but the total sum of establishments owned by Jains in that sub-district is exactly zero."
hard,identical_to_english,bengali,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_bengali.jsonl,160,471bea0a,Translated question is byte-identical to English source,"List the sub-district names, ordered alphabetically, for areas where the estimated finance from government assistance is 0.000 and the estimated finance borrowed from institutions is also 0.000.","List the sub-district names, ordered alphabetically, for areas where the estimated finance from government assistance is 0.000 and the estimated finance borrowed from institutions is also 0.000."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,33,5d1894c5,Translated question is byte-identical to English source,"List the state name and the district name for all districts located in the states of 'Andhra Pradesh' or 'Assam', and sort the results by the state name.","List the state name and the district name for all districts located in the states of 'Andhra Pradesh' or 'Assam', and sort the results by the state name."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,47,244da596,Translated question is byte-identical to English source,"List the ULB RLB village names, sorted alphabetically, for locations where the number of forestry and logging establishments is greater than zero or the number of residential and commercial establishments is greater than zero.","List the ULB RLB village names, sorted alphabetically, for locations where the number of forestry and logging establishments is greater than zero or the number of residential and commercial establishments is greater than zero."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,49,a1c69c64,Translated question is byte-identical to English source,"List the sub-district name and the census year, along with the sum of total establishments and the sum of residential-commercial establishments, grouped by both sub-district and census year, and ordered chronologically by the census year.","List the sub-district name and the census year, along with the sum of total establishments and the sum of residential-commercial establishments, grouped by both sub-district and census year, and ordered chronologically by the census year."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,53,e03e8e45,Translated question is byte-identical to English source,"For the census year 2013, list the sub-district names and the total sum of estimated residential and commercial establishments, showing the top 10 sub-districts with the highest totals.","For the census year 2013, list the sub-district names and the total sum of estimated residential and commercial establishments, showing the top 10 sub-districts with the highest totals."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,62,3df90f90,Translated question is byte-identical to English source,"For the census year 2013, list the sub-district names for those sub-districts where either the residential-commercial establishment count is greater than zero or the ULB/RLB village name is 'Pilpilow', provided that the sum of total establishments in the sub-district is greater than zero, and order the results alphabetically by sub-district name.","For the census year 2013, list the sub-district names for those sub-districts where either the residential-commercial establishment count is greater than zero or the ULB/RLB village name is 'Pilpilow', provided that the sum of total establishments in the sub-district is greater than zero, and order the results alphabetically by sub-district name."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,91,8efb7d2e,Translated question is byte-identical to English source,"List the sub-district names, ordered alphabetically, where the estimated transport and storage value is greater than 0.000, but the total sum of estimated accommodation and food services for that sub-district is exactly 0.000.","List the sub-district names, ordered alphabetically, where the estimated transport and storage value is greater than 0.000, but the total sum of estimated accommodation and food services for that sub-district is exactly 0.000."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,94,5a214bd0,Translated question is byte-identical to English source,"List the sub-district names from the year 2013 where the sum of estimated transport storage is at least 0.000 and the sum of estimated accommodation food is greater than 0.000, and sort the results alphabetically by the sub-district name.","List the sub-district names from the year 2013 where the sum of estimated transport storage is at least 0.000 and the sum of estimated accommodation food is greater than 0.000, and sort the results alphabetically by the sub-district name."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,96,d3f0ddb6,Translated question is byte-identical to English source,"List the sub district names and the ULB/RLB village names for all records where the estimated human health and social work activities value is 0.000 or greater, grouped and ordered alphabetically by the sub district name.","List the sub district names and the ULB/RLB village names for all records where the estimated human health and social work activities value is 0.000 or greater, grouped and ordered alphabetically by the sub district name."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,113,09a62cf5,Translated question is byte-identical to English source,"For the census year 2013, list the ULB RLB village names and their corresponding sub-district names, specifically for locations where the sum of estimated education values is at least 1.000 and the sum of estimated human health and social values is at least 1.000, ordered alphabetically by sub-district name.","For the census year 2013, list the ULB RLB village names and their corresponding sub-district names, specifically for locations where the sum of estimated education values is at least 1.000 and the sum of estimated human health and social values is at least 1.000, ordered alphabetically by sub-district name."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,116,58b60029,Translated question is byte-identical to English source,"For the most recent census year available, list each sub-district name and the total sum of establishments owned by females, grouped by sub-district and ordered from the highest to lowest sum.","For the most recent census year available, list each sub-district name and the total sum of establishments owned by females, grouped by sub-district and ordered from the highest to lowest sum."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,121,bf70d789,Translated question is byte-identical to English source,"For the census year 2013, list the sub-district names and the total number of establishments owned by females for each sub-district, showing only the top 5 sub-districts with the highest totals.","For the census year 2013, list the sub-district names and the total number of establishments owned by females for each sub-district, showing only the top 5 sub-districts with the highest totals."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,122,0c557e68,Translated question is byte-identical to English source,"For the most recent census year available, list the sub-district names and the total sum of establishments owned by females, grouped by sub-district and ordered by the highest number of female-owned establishments first, showing only the top 5 results.","For the most recent census year available, list the sub-district names and the total sum of establishments owned by females, grouped by sub-district and ordered by the highest number of female-owned establishments first, showing only the top 5 results."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,127,1d4a3e0b,Translated question is byte-identical to English source,"For the census year 2013, list the names of sub-districts where the number of establishments owned by females is greater than zero, ensuring that each sub-district name is included only if it has at least one record.","For the census year 2013, list the names of sub-districts where the number of establishments owned by females is greater than zero, ensuring that each sub-district name is included only if it has at least one record."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,136,9382a4a2,Translated question is byte-identical to English source,"For the census year 2013, list each sub-district name and the total sum of establishments owned by Sikhs, sorted in descending order by that total sum.","For the census year 2013, list each sub-district name and the total sum of establishments owned by Sikhs, sorted in descending order by that total sum."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,139,a80ce3c9,Translated question is byte-identical to English source,"For the census year 2013, list the sub-district names and the ULB/RLB village names for locations where the estimated ownership by Sikhs is greater than or equal to 0.000, ordered alphabetically by the sub-district name.","For the census year 2013, list the sub-district names and the ULB/RLB village names for locations where the estimated ownership by Sikhs is greater than or equal to 0.000, ordered alphabetically by the sub-district name."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,141,e591a0fb,Translated question is byte-identical to English source,"List the sub-district names from the 2013 census year where there is at least one establishment owned by Sikhs, but the total sum of establishments owned by Jains in that sub-district is exactly zero.","List the sub-district names from the 2013 census year where there is at least one establishment owned by Sikhs, but the total sum of establishments owned by Jains in that sub-district is exactly zero."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,145,f6540683,Translated question is byte-identical to English source,"List the sub-district names for the census year 2013 where the total number of establishments owned by Sikhs is greater than 500 or the total number of establishments owned by Jains is greater than 500, and sort the results alphabetically by sub-district name.","List the sub-district names for the census year 2013 where the total number of establishments owned by Sikhs is greater than 500 or the total number of establishments owned by Jains is greater than 500, and sort the results alphabetically by sub-district name."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,146,d4726fb5,Translated question is byte-identical to English source,"List the sub-district names and the ULB/RLB village names, ordered by the sub-district name.","List the sub-district names and the ULB/RLB village names, ordered by the sub-district name."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,148,f279081a,Translated question is byte-identical to English source,"For each sub-district, list the sub-district name, the total estimated finance from borrowing institutions, and the total estimated finance from self-help group loans, ordered by the total estimated finance from borrowing institutions in descending order.","For each sub-district, list the sub-district name, the total estimated finance from borrowing institutions, and the total estimated finance from self-help group loans, ordered by the total estimated finance from borrowing institutions in descending order."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,149,0d4f65de,Translated question is byte-identical to English source,"For each sub-district name in the rural sector category, list the sub-district name along with the total estimated finance from institutional borrowing and the total estimated finance from self-help group loans, provided that the total institutional borrowing is greater than zero, and sort the results by total institutional borrowing in descending order.","For each sub-district name in the rural sector category, list the sub-district name along with the total estimated finance from institutional borrowing and the total estimated finance from self-help group loans, provided that the total institutional borrowing is greater than zero, and sort the results by total institutional borrowing in descending order."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,150,414ab4d4,Translated question is byte-identical to English source,"List the names of the ULB, RLB, or villages, sorted alphabetically, that have an estimated government assistance finance amount of 0.000 and an estimated self-help group loan finance amount of 0.000.","List the names of the ULB, RLB, or villages, sorted alphabetically, that have an estimated government assistance finance amount of 0.000 and an estimated self-help group loan finance amount of 0.000."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,153,d08fd177,Translated question is byte-identical to English source,"For the most recent census year available, list each sub-district name and the total estimated government financial assistance, grouped by the sub-district name and ordered from the highest to the lowest total assistance.","For the most recent census year available, list each sub-district name and the total estimated government financial assistance, grouped by the sub-district name and ordered from the highest to the lowest total assistance."
hard,identical_to_english,hindi,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi.jsonl,161,c4e8af4a,Translated question is byte-identical to English source,"List the sub-district names, sorted alphabetically, for all sub-districts that have at least one finance source record where both the estimated government financial assistance and the estimated amount borrowed from institutions are equal to 0.000.","List the sub-district names, sorted alphabetically, for all sub-districts that have at least one finance source record where both the estimated government financial assistance and the estimated amount borrowed from institutions are equal to 0.000."
hard,identical_to_english,hinglish,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hinglish.jsonl,52,cd33eb91,Translated question is byte-identical to English source,"For the most recent census year available, list each sub-district name and the total sum of estimated residential commercial establishments, filtering for records where the estimated residential commercial value is 0.000, and order the results by the sum in descending order.","For the most recent census year available, list each sub-district name and the total sum of estimated residential commercial establishments, filtering for records where the estimated residential commercial value is 0.000, and order the results by the sum in descending order."
hard,identical_to_english,hinglish,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hinglish.jsonl,70,34765acb,Translated question is byte-identical to English source,"For the most recent census year available, list each sub-district name and the total estimated manufacturing value, sorted from highest to lowest total estimated manufacturing.","For the most recent census year available, list each sub-district name and the total estimated manufacturing value, sorted from highest to lowest total estimated manufacturing."
hard,identical_to_english,hinglish,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hinglish.jsonl,96,d3f0ddb6,Translated question is byte-identical to English source,"List the sub district names and the ULB/RLB village names for all records where the estimated human health and social work activities value is 0.000 or greater, grouped and ordered alphabetically by the sub district name.","List the sub district names and the ULB/RLB village names for all records where the estimated human health and social work activities value is 0.000 or greater, grouped and ordered alphabetically by the sub district name."
hard,identical_to_english,hinglish,tasks/INDIA_Economic_Census_Firms/task_files/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hinglish.jsonl,101,e9093393,Translated question is byte-identical to English source,"For the census year 2013, list the names of the ULB, RLB, or villages that have a total estimated human health and social work value greater than 50, and order the results by this sum in descending order.","For the census year 2013, list the names of the ULB, RLB, or villages that have a total estimated human health and social work value greater than 50, and order the results by this sum in descending order."
