db,lang,pair_id,comet_score,src,mt
INDIA_Economic_Census_Firms,Hindi,f279081a,0.14136385917663574,"For each sub-district, list the sub-district name, the total estimated finance from borrowing institutions, and the total estimated finance from self-help group loans, ordered by the total estimated finance from borrowing institutions in descending order.","For each sub-district, list the sub-district name, the total estimated finance from borrowing institutions, and the total estimated finance from self-help group loans, ordered by the total estimated finance from borrowing institutions in descending order."
INDIA_Economic_Census_Firms,Hindi Romanized,f279081a,0.14136385917663574,"For each sub-district, list the sub-district name, the total estimated finance from borrowing institutions, and the total estimated finance from self-help group loans, ordered by the total estimated finance from borrowing institutions in descending order.","For each sub-district, list the sub-district name, the total estimated finance from borrowing institutions, and the total estimated finance from self-help group loans, ordered by the total estimated finance from borrowing institutions in descending order."
INDIA_IHDS_2011_TRACKING_SURVEY,Marathi,f3127d47,0.1561126410961151,"List the geography IDs, ordered ascending by geography ID, for households where either the completion status is 'Located' or the household split number is 1, grouped by their geography ID.","List the geography IDs, ordered ascending by geography ID, for households where either the completion status is 'Located' or the household split number is 1, grouped by their geography ID."
INDIA_Economic_Census_Firms,Hindi,0d4f65de,0.16635474562644958,"For each sub-district name in the rural sector category, list the sub-district name along with the total estimated finance from institutional borrowing and the total estimated finance from self-help group loans, provided that the total institutional borrowing is greater than zero, and sort the results by total institutional borrowing in descending order.","For each sub-district name in the rural sector category, list the sub-district name along with the total estimated finance from institutional borrowing and the total estimated finance from self-help group loans, provided that the total institutional borrowing is greater than zero, and sort the results by total institutional borrowing in descending order."
INDIA_Economic_Census_Firms,Telugu,0d4f65de,0.16635474562644958,"For each sub-district name in the rural sector category, list the sub-district name along with the total estimated finance from institutional borrowing and the total estimated finance from self-help group loans, provided that the total institutional borrowing is greater than zero, and sort the results by total institutional borrowing in descending order.","For each sub-district name in the rural sector category, list the sub-district name along with the total estimated finance from institutional borrowing and the total estimated finance from self-help group loans, provided that the total institutional borrowing is greater than zero, and sort the results by total institutional borrowing in descending order."
INDIA_Economic_Census_Firms,Bengali,d5b2cc85,0.1692531257867813,List the sub-district names and the ULB/RLB village names where the total number of establishments owned by females is greater than the total number of establishments owned by males.,List the sub-district names and the ULB/RLB village names where the total number of establishments owned by females is greater than the total number of establishments owned by males.
INDIA_Economic_Census_Firms,Telugu,d5b2cc85,0.1692531257867813,List the sub-district names and the ULB/RLB village names where the total number of establishments owned by females is greater than the total number of establishments owned by males.,List the sub-district names and the ULB/RLB village names where the total number of establishments owned by females is greater than the total number of establishments owned by males.
INDIA_Economic_Census_Firms,Hindi Romanized,2ad8247d,0.16967642307281494,"List the sub-district names for the census year 2013 where the total number of establishments owned by Sikhs is greater than zero and the total number of establishments owned by Jains is exactly zero, grouped and ordered alphabetically by the sub-district name.","List the sub-district names for the census year 2013 where the total number of establishments owned by Sikhs is greater than zero and the total number of establishments owned by Jains is exactly zero, grouped and ordered alphabetically by the sub-district name."
INDIA_Economic_Census_Firms,Telugu,2ad8247d,0.16967642307281494,"List the sub-district names for the census year 2013 where the total number of establishments owned by Sikhs is greater than zero and the total number of establishments owned by Jains is exactly zero, grouped and ordered alphabetically by the sub-district name.","List the sub-district names for the census year 2013 where the total number of establishments owned by Sikhs is greater than zero and the total number of establishments owned by Jains is exactly zero, grouped and ordered alphabetically by the sub-district name."
INDIA_Economic_Census_Firms,Telugu,a994e9a8,0.17280054092407227,"For the census year 2013, list each sub-district name and the ULB/RLB village name, along with the total sum of establishments owned by Sikhs, where that sum is at least zero, and sort the results by the total sum in descending order.","For the census year 2013, list each sub-district name and the ULB/RLB village name, along with the total sum of establishments owned by Sikhs, where that sum is at least zero, and sort the results by the total sum in descending order."
INDIA_Economic_Census_Firms,Hindi Romanized,fba7fb6b,0.17413169145584106,"List the names of the ULB, RLB, or villages that have at least one finance source record, but specifically where the estimated government assistance is 0.000 and the estimated loan from self-help groups is also 0.000, ordered alphabetically by the village name.","List the names of the ULB, RLB, or villages that have at least one finance source record, but specifically where the estimated government assistance is 0.000 and the estimated loan from self-help groups is also 0.000, ordered alphabetically by the village name."
